Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
61176000,UHE MARECHAL MASCARENHAS DE MORAES RIO DO CERVO,1,1060.0,61,LAVRAS,MINAS GERAIS,FURNAS,FURNAS,-21.2331,-45.1736,798.0,RIO DO CERVO,1998-07-01,,Ativo,Setor Elétrico,0
61176200,BARRA RIO DO CERVO,1,,61,LAVRAS,MINAS GERAIS,IGAM-MG,IGAM-MG,-21.1719,-45.1717,784.0,RIO DO CERVO,,,Ativo,RHN,0
61195700,PCH OLIVEIRA BARRAMENTO,1,258.0,61,OLIVEIRA,MINAS GERAIS,LUZBOA,LUZBOA,-20.7747,-44.6956,971.0,RIO JACARÉ,2015-08-01,,Ativo,Setor Elétrico,0
61196000,PCH OLIVEIRA JUSANTE,1,258.0,61,OLIVEIRA,MINAS GERAIS,LUZBOA,LUZBOA,-20.7711,-44.6978,941.0,RIO JACARÉ,2015-08-01,,Ativo,Setor Elétrico,0
61197900,CGH ANIL MONTANTE,1,1106.79,61,SÃO FRANCISCO DE PA,MINAS GERAIS,AMBAR,AMBAR,-20.7494,-44.9819,,RIO JACARÉ,2015-12-01,,Ativo,Setor Elétrico,0
61198080,CGH ANIL BARRAMENTO,1,1320.0,61,SANTANA DO JACARÉ,MINAS GERAIS,AMBAR,AMBAR,-20.8178,-45.0603,,RIO JACARÉ,1924-08-01,,Ativo,Setor Elétrico,0
61198100,CGH ANIL JUSANTE,1,1506.0,61,SANTANA DO JACARÉ,MINAS GERAIS,AMBAR,AMBAR,-20.8242,-45.0639,,RIO JACARÉ,2015-11-01,,Ativo,Setor Elétrico,0
61203000,UHE FURNAS RIO JACARÉ,1,2013.0,61,CANA VERDE,MINAS GERAIS,FURNAS,FURNAS,-20.4517,-45.1531,780.0,RIO JACARÉ,2008-08-01,,Ativo,Setor Elétrico,0
61255100,PCH SÃO BERNARDO MONTANTE,1,29.19,61,PIRANGUÇU,MINAS GERAIS,AMBAR,AMBAR,-22.6122,-45.5661,,RIBEIRÃO SÃO BERNARDO,1994-09-01,,Ativo,Setor Elétrico,0
61255300,PCH SÃO BERNARDO BARRAMENTO,1,31.73,61,PIRANGUÇU,MINAS GERAIS,AMBAR,AMBAR,-22.6011,-45.5483,,RIBEIRÃO SÃO BERNARDO,2010-04-01,,Ativo,Setor Elétrico,0
61255800,PCH SÃO BERNARDO RIO PIRANGUÇU,1,25.0,61,PIRANGUÇU,MINAS GERAIS,AMBAR,AMBAR,-22.5606,-45.5392,,RIBEIRÃO PIRANGUÇU,2025-02-01,,Ativo,Setor Elétrico,0
61260000,BICAS,1,426.0,61,ITAJUBÁ,MINAS GERAIS,IGAM-MG,IGAM-MG,-22.5119,-45.3914,865.0,,,,Ativo,RHN,0
61262050,PCH REPI BARRAMENTO 1,1,199.86,61,WENCESLAU BRAZ,MINAS GERAIS,IMBEL,IMBEL,-22.5528,-45.365,1098.0,RIO DE BICAS,2015-03-01,,Ativo,Setor Elétrico,0
61262080,PCH REPI BARRAMENTO 2,1,199.86,61,WENCESLAU BRAZ,MINAS GERAIS,IMBEL,IMBEL,-22.5475,-45.3619,1068.84,RIO DE BICAS,2015-03-01,,Ativo,Setor Elétrico,0
61262100,PCH REPI JUSANTE,1,137.0,61,WENCESLAU BRAZ,MINAS GERAIS,IMBEL,IMBEL,-22.5356,-45.3617,966.5,RIO DE BICAS,2015-03-01,,Ativo,Setor Elétrico,0
61268700,PCH NINHO DA ÁGUIA MONTANTE,1,126.0,61,DELFIM MOREIRA,MINAS GERAIS,SPE ÁGUIA,SPE ÁGUIA,-22.4992,-45.3139,1200.0,RIO SANTO ANTÔNIO,2011-02-01,,Ativo,Setor Elétrico,0
61268750,PCH NINHO DA ÁGUIA BARRAMENTO,1,150.0,61,DELFIM MOREIRA,MINAS GERAIS,SPE ÁGUIA,SPE ÁGUIA,-22.4936,-45.33,1127.0,RIO SANTO ANTÔNIO,2013-04-01,,Ativo,Setor Elétrico,0
