Name,Code,Type,DrainArea,SubBasin,City,State,Responsib,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,QScore,QLabel,IsStudy
USINA SÃO MIGUEL,57550000,1,1420.0,57,CACHOEIRO DO  ITAPE,ESPÍRITO SANTO,ANA,-20.7025,-41.1736,1968-10-01,2019-12-31,52,0.0,51,1.9,0.93,Excelente,0
COUTINHO,57555000,1,4510.0,57,CACHOEIRO DO  ITAPE,ESPÍRITO SANTO,ANA,-20.7583,-41.1736,1969-01-01,2010-04-30,42,4.8,38,9.5,0.8112,Excelente,0
CACHOEIRO DO ITAPEMIRIM,57560000,1,4890.0,57,CACHOEIRO DO  ITAPE,ESPÍRITO SANTO,ANA,-20.8653,-41.1006,1935-08-18,1980-02-13,46,0.2,43,6.5,0.7988,Excelente,0
USINA PAINEIRAS,57580000,1,5170.0,57,ITAPEMIRIM,ESPÍRITO SANTO,ANA,-20.9525,-40.9528,1971-01-01,2019-12-06,49,1.5,45,8.2,0.921,Excelente,0
ATÍLIO VIVACQUA,57630000,1,286.0,57,ATÍLIO VIVACQUA,ESPÍRITO SANTO,ANA,-20.9142,-41.1939,1935-08-19,1980-02-13,46,1.2,40,13.0,0.7928,Excelente,0
FAZENDA CACHETA,57650000,1,478.0,57,PRESIDENTE KENNEDY,ESPÍRITO SANTO,ANA,-21.0167,-41.0864,1984-06-21,2019-12-31,36,2.7,28,22.2,0.8638,Excelente,0
CAIANA,57700000,1,406.0,57,CAIANA,MINAS GERAIS,ANA,-20.6947,-41.9214,1935-10-14,2019-11-30,85,1.1,82,3.5,0.9234,Excelente,0
DORES DO RIO PRETO,57720000,1,222.0,57,DORES DO RIO PRETO,ESPÍRITO SANTO,ANA,-20.6864,-41.8467,1948-08-21,2019-12-31,72,0.1,69,4.2,0.9294,Excelente,0
GUAÇUÍ,57740000,1,408.0,57,GUAÇUÍ,ESPÍRITO SANTO,ANA,-20.7722,-41.6811,1937-08-14,2019-12-31,83,0.1,81,2.4,0.9294,Excelente,0
SANTA RITA DO PRATA,57750000,1,1598.0,57,VARRE-SAI,RIO DE JANEIRO,ANA,-20.8589,-41.7419,2017-05-27,2019-12-31,3,2.1,2,33.3,0.4549,Limitada,0
SÃO JOSÉ DO CALÇADO,57770000,1,153.0,57,SÃO JOSÉ DO CALÇADO,ESPÍRITO SANTO,ANA,-21.0286,-41.6519,1952-09-04,2019-11-30,68,0.4,64,5.9,0.9276,Excelente,0
PONTE DO ITABAPOANA,57830000,1,2720.0,57,MIMOSO DO SUL,ESPÍRITO SANTO,ANA,-21.2061,-41.4639,1930-09-05,2019-12-31,90,0.1,88,2.2,0.9294,Excelente,0
MIMOSO DO SUL,57880000,1,365.0,57,MIMOSO DO SUL,ESPÍRITO SANTO,ANA,-21.0647,-41.3628,1968-01-01,2019-12-31,52,0.0,52,0.0,0.93,Excelente,0
SANTA CRUZ,57930000,1,3620.0,57,MIMOSO DO SUL,ESPÍRITO SANTO,ANA,-21.2219,-41.3081,1957-05-08,2019-12-31,63,16.1,49,22.2,0.8334,Excelente,0
ESTRADA DO CUNHA,58030000,1,796.0,58,CUNHA,SÃO PAULO,ANA,-22.9939,-45.0439,1934-03-21,2019-12-31,86,0.1,82,4.7,0.9294,Excelente,0
SÃO LUÍS DO PARAITINGA,58040000,1,1950.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.2386,-45.3067,1988-02-13,2019-12-31,32,0.3,27,15.6,0.8282,Excelente,0
SÃO LUÍS DO PARAITINGA,58040100,1,1940.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.2167,-45.3,1930-08-18,1974-12-31,45,0.0,44,2.2,0.8,Excelente,0
SÃO LUÍS DO PARAITINGA,58040200,1,1950.0,58,SÃO LUÍS DO PARAITI,SÃO PAULO,ANA,-23.2394,-45.3053,1973-01-01,1995-12-31,23,34.3,14,39.1,0.3817,Limitada,0
PONTE DOS MINEIROS,58045000,1,2430.0,58,NATIVIDADE DA SERRA,SÃO PAULO,ANA,-23.3272,-45.4694,1951-01-01,1974-12-31,24,0.0,24,0.0,0.6,Moderada,0
