Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
15750575,ARIPUANÃ,1,14800.0,15,ARIPUANÃ,MATO GROSSO,SEMA-MT,SEMA-MT,-10.1428,-59.4297,127.0,RIO ARIPUANÃ,,,Ativo,RHN,0
15860000,FAZENDA VISTA ALEGRE,1,1310000.0,15,NOVO ARIPUANÃ,AMAZONAS,ANA,ÁGUA E SOLO,-4.8972,-60.0253,,RIO MADEIRA,1975-03-01,,Ativo,RHN,0
15910000,SANTARÉM SUCUNDURI,1,12700.0,15,APUÍ,AMAZONAS,ANA,ÁGUA E SOLO,-6.7956,-59.0422,49.0,RIO SUCUNDURI,1975-05-01,,Ativo,RHN,0
16030000,ITACOATIARA,1,4350000.0,16,ITACOATIARA,AMAZONAS,ANA,SGB-CPRM,-3.1539,-58.4114,,RIO SOLIMÕES-AMAZONAS,1927-11-01,,Ativo,RHN,0
16100000,CACHOEIRA MORENA,1,20400.0,16,PRESIDENTE FIGUEIRE,AMAZONAS,ANA,SGB-CPRM,-2.1061,-59.3442,,RIO UATUMÃ,1973-01-01,,Ativo,RHN,0
16205000,BASE SIDERAMA - JUSANTE,1,24600.0,16,URUCARÁ,AMAZONAS,ANA,SGB-CPRM,-1.6833,-58.5333,,RIO JATAPU,2001-07-01,2023-03-01,Ativo,RHN,0
16350002,PARINTINS,1,4430000.0,16,PARINTINS,AMAZONAS,ANA,SGB-CPRM,-2.6306,-56.7519,,RIO SOLIMÕES-AMAZONAS,1967-08-01,,Ativo,RHN,0
16430000,GARGANTA,1,39000.0,16,ORIXIMINÁ,PARÁ,ANA,SGB-CPRM,-0.9978,-57.0431,,RIO TROMBETAS,1981-10-01,,Ativo,RHN,0
16500000,ESTIRÃO DA ANGÉLICA,1,25800.0,16,ORIXIMINÁ,PARÁ,ANA,SGB-CPRM,-1.1006,-57.0569,11.83,RIO MAPUERA OU URUCURINA,1970-10-01,,Ativo,RHN,0
16661000,TABULEIRO - REBIO TROMBETAS,1,79000.0,16,ORIXIMINÁ,PARÁ,ANA,SGB-CPRM,-1.3706,-56.8519,,RIO TROMBETAS,2007-05-01,,Ativo,RHN,0
16900000,ORIXIMINÁ,1,127000.0,16,ORIXIMINÁ,PARÁ,ANA,SGB-CPRM,-1.7764,-55.8622,,RIO TROMBETAS,1968-07-01,,Ativo,RHN,0
17050001,ÓBIDOS,1,4670000.0,17,ÓBIDOS,PARÁ,ANA,SGB-CPRM,-1.9192,-55.5131,,RIO SOLIMÕES-AMAZONAS,1968-02-01,,Ativo,RHN,0
17091190,COMODORO - RIO JUÍNA,1,,17,CAMPOS DE JÚLIO,MATO GROSSO,SEMA-MT,SEMA-MT,-13.7942,-59.4556,472.0,RIO JUÍNA,2024-11-01,,Ativo,RHN,0
17091450,FAZENDA RODIAL,1,1441.0,17,SAPEZAL,MATO GROSSO,SEMA-MT,SEMA-MT,-13.5453,-58.6378,,RIO BURITI,2011-08-01,,Ativo,RHN,0
17091508,SAPEZAL - RIO PAPAGAIO,1,,17,SAPEZAL,MATO GROSSO,SEMA-MT,SEMA-MT,-13.5783,-58.4069,436.0,RIO PAPAGAIO,2024-11-01,,Ativo,RHN,0
17091546,CAMPO NOVO PARECIS - RIO VERDE,1,,17,CAMPO NOVO DO PAREC,MATO GROSSO,SEMA-MT,SEMA-MT,-13.7072,-57.9958,500.0,RIO VERDE OU TAUIUINA,2024-11-01,,Ativo,RHN,0
17092960,PONTE ANTIGA BR-364,1,16275.0,17,SAPEZAL,MATO GROSSO,SEMA-MT,SEMA-MT,-12.7998,-58.3984,67.0,RIO PAPAGAIO,2011-10-01,,Ativo,RHN,0
17093010,MT-170,1,2243.0,17,JUÍNA,MATO GROSSO,SEMA-MT,SEMA-MT,-11.3568,-58.3544,,RIO JUINA MIRIM,2011-10-01,,Ativo,RHN,0
17093020,RIO JURUENA - PONTE EM JUÍNA,1,,17,JUÍNA,MATO GROSSO,SEMA-MT,SEMA-MT,-11.5303,-58.3797,,RIO JURUENA,,,Ativo,RHN,0
17094300,BRASNORTE,1,21622.0,17,BRASNORTE,MATO GROSSO,SEMA-MT,SEMA-MT,-12.0977,-57.8805,,RIO DO SANGUE,2011-08-01,,Ativo,RHN,0
17098500,FAZENDA CACHOEIRA GRANDE,1,2636.0,17,NOVA MUTUM,MATO GROSSO,SEMA-MT,SEMA-MT,-14.2173,-56.0351,,RIO ARINOS,2011-08-01,,Ativo,RHN,0
17099000,FAZENDA CACHOEIRA DE PAU,1,6011.0,17,NOVA MUTUM,MATO GROSSO,SEMA-MT,SEMA-MT,-13.8314,-56.4097,,RIO ARINOS,2011-08-01,,Ativo,RHN,0
17099500,FAZENDA MASSAPÉ,1,5138.0,17,SÃO JOSÉ DO RIO CLA,MATO GROSSO,SEMA-MT,SEMA-MT,-13.5034,-56.6189,,RIO CLARO,2011-10-01,,Ativo,RHN,0
17120200,JUARA - RIO ARINOS,1,38670.0,17,JUARA,MATO GROSSO,SEMA-MT,SEMA-MT,-11.2239,-57.6019,220.0,RIO ARINOS,,,Ativo,RHN,0
17122001,JUARA,1,14334.0,17,JUARA,MATO GROSSO,SEMA-MT,SEMA-MT,-10.8231,-57.7272,,RIO DOS PEIXES,2011-10-01,,Ativo,RHN,0
17130000,FOZ DO JURUENA,1,182000.0,17,APIACÁS,MATO GROSSO,ANA,VLF,-7.7311,-58.2808,123.0,RIO JURUENA,1986-11-01,,Ativo,RHN,0
17271100,SORRISO,1,840.0,17,SORRISO,MATO GROSSO,SEMA-MT,SEMA-MT,-12.5358,-55.7047,,RIO TENENTE LIRA,2011-08-01,,Ativo,RHN,0
17277000,FAZENDA CERON,1,1792.0,17,SORRISO,MATO GROSSO,SEMA-MT,SEMA-MT,-12.31,-55.5678,,RIO CELESTE,2011-08-01,,Ativo,RHN,0
17343010,PEIXOTO DE AZEVEDO,1,10738.0,17,PEIXOTO DE AZEVEDO,MATO GROSSO,SEMA-MT,SEMA-MT,-10.2194,-54.9708,255.0,RIO PEIXOTO DE AZEVEDO,,,Ativo,RHN,0
